# participant,task,method,experience,safety score,hinderance score,logic score,coworker score,avg. robot time,std. robot time,avg. separation,std. separation,avg. time under 0.3m,std. time under 0.3m
7.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,7.694005999999998835e+01,5.150464540058497853e+00,3.546415652574108068e-01,1.783439793869319792e-02,2.846666666666666146e+01,3.213651436536880013e+00
8.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,8.096674000000000149e+01,4.107987071352585673e+00,3.624011425062273473e-01,3.442266625012395387e-02,3.034666666666667112e+01,6.397172986735799149e+00
9.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,7.466675999999999647e+01,4.189657424468021141e+00,3.789069422403235632e-01,1.861281497762889633e-02,2.683999999999999631e+01,3.126261523147272570e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,8.630007999999999413e+01,6.421047024403418568e+00,5.247420615949559553e-01,2.002777977606280679e-02,5.793333333333333890e+00,4.185445681830736397e+00
1.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,9.000000000000000000e+00,1.125425600000000088e+02,1.370479031836678629e+01,4.042364948450559159e-01,1.511755245328021309e-02,3.150000000000000000e+01,6.125465968669920436e+00
1.100000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e+00,8.857797999999999661e+01,7.881141459306512331e+00,3.923456366925621719e-01,2.018829539936494583e-02,2.275333333333333385e+01,2.006500546833826615e+00
1.200000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000000e+00,1.049667600000000220e+02,1.630586370378459904e+01,3.318741899870841228e-01,1.398765467202795106e-02,4.380666666666667197e+01,1.289662143526142302e+01
1.300000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,9.000000000000000000e+00,8.696673999999998728e+01,8.312644184277347748e+00,4.010199566452410380e-01,3.361845219471152474e-02,2.264000000000000057e+01,7.809236696232083830e+00
1.400000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00,1.113335399999999993e+02,1.210327882213741724e+01,3.543184816822876892e-01,1.867634539141787772e-02,4.007999999999999829e+01,4.826712706962736910e+00
1.500000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,9.643028000000001043e+01,1.695792571978070740e+01,3.236905487114636326e-01,1.807687076319839867e-02,4.278000000000000114e+01,6.860987943113991072e+00
1.600000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,1.000000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+00,8.723344000000000165e+01,1.059098356633603721e+01,3.428362409256280885e-01,3.357502590056463121e-02,3.659333333333333371e+01,3.445796150545053838e+00
1.700000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+00,9.014008000000001175e+01,2.818561776793262030e+00,3.973676608983901515e-01,1.972504173503113883e-02,2.668666666666666742e+01,6.253482585283534512e+00
1.800000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,7.000000000000000000e+00,9.260012000000000398e+01,1.044864571825459088e+01,3.407658918667437753e-01,2.653652933296946417e-02,3.845333333333333314e+01,7.717616212276949383e+00
1.900000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,9.000000000000000000e+00,7.476676000000000499e+01,1.984987498425116215e+01,4.191243879003707096e-01,6.385298603337564993e-02,2.178666666666666885e+01,1.269279060464377729e+01
2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,1.111333000000000055e+02,1.828220576473199799e+01,3.160112004319154400e-01,1.262684322670803473e-02,4.993999999999999773e+01,9.287085417694592948e+00
4.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,9.124003999999999337e+01,4.504980246615959416e+00,3.241254364766920082e-01,1.086235987081972908e-02,3.817999999999999972e+01,2.638315961197808424e+00
5.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,7.464671999999998775e+01,5.737660297508035967e+00,4.177346441680828137e-01,3.531740226038036085e-02,1.942000000000000171e+01,8.529936824046366439e+00
6.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,1.006254399999999976e+02,1.638947578131771365e+01,2.935990049722685957e-01,6.340334278926835175e-03,4.773999999999999488e+01,1.212192503964063839e+01
7.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,1.015333799999999940e+02,8.384595825536255376e+00,3.122983575186834004e-01,1.361635011142493801e-02,4.603333333333333144e+01,6.718266972301050188e+00
8.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,8.862673999999998387e+01,2.994628613768325121e+00,3.175349941209972826e-01,1.068687754454615557e-02,3.833999999999999631e+01,4.117302245133066307e+00
9.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,6.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,9.735338000000000136e+01,4.568420729048493278e+00,3.556094316542177114e-01,1.486409745913355208e-02,3.422666666666666657e+01,1.918726429460726690e+00
3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,4.000000000000000000e+00,5.000000000000000000e+00,9.193999999999999773e+01,1.055990984942580191e+01,4.215448907963669223e-01,8.145734731421383490e-02,2.542666666666666586e+01,1.217796552977731217e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00,3.813340000000000174e+01,3.857260513369557664e+00,5.743454530305853734e-01,6.514335593556601356e-02,3.613333333333333286e+00,2.577992328236149877e+00
1.000000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00,4.112008000000000152e+01,9.774581566573578684e+00,5.337133052845338677e-01,1.142563881728275894e-02,4.533333333333333215e+00,2.191600125732592108e+00
1.100000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,5.986674000000000717e+01,9.782960379067267453e+00,3.952672482611332971e-01,1.392667395484347564e-02,1.816000000000000014e+01,7.122683639066262451e+00
1.200000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,4.378008000000000521e+01,5.633524304518441994e+00,4.004227014864968348e-01,1.097516542612028516e-02,1.125999999999999979e+01,2.852164869786534496e+00
1.300000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.976008000000000209e+01,8.366060679292258939e+00,4.187172603506582047e-01,3.489248951987564823e-02,1.435333333333333528e+01,8.552234275972047328e+00
1.400000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,3.814996000000000009e+01,3.831620815059862295e+00,4.306074580660574358e-01,2.960647767280805837e-02,9.660000000000000142e+00,2.009466485302891847e+00
1.500000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,9.000000000000000000e+00,4.726005999999999574e+01,3.631904967148782415e+00,3.851770627455830542e-01,3.446574290125897777e-02,1.629333333333333300e+01,4.095656235574465676e+00
1.600000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,5.264005999999999119e+01,6.123109420743678477e+00,3.459516753254044952e-01,2.431177938216167941e-02,2.311999999999999744e+01,3.029895487746511407e+00
1.700000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e+00,5.002008000000000010e+01,3.202652220519735859e+00,4.193574642033806588e-01,6.140111323320703723e-02,1.425999999999999979e+01,5.715374975547196534e+00
1.800000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,4.560674000000000206e+01,6.490528614096082727e+00,4.583712543359233504e-01,4.060716934232799086e-02,1.091999999999999815e+01,5.625126171424462918e+00
1.900000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,4.668006000000000455e+01,1.150657393555527364e+01,4.598414507265842777e-01,6.012202469660064136e-02,8.939999999999999503e+00,7.744055784923039809e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,5.252673999999999666e+01,9.632718854736701530e+00,4.157358618976639830e-01,3.921792744804968728e-02,1.154000000000000092e+01,5.637942887259501212e+00
3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,6.000000000000000000e+00,6.000000000000000000e+00,4.731338000000000932e+01,8.060953078488918067e+00,5.303480761989239900e-01,1.062520120553147596e-01,1.048000000000000043e+01,1.077112601149738502e+01
4.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.943341999999999814e+01,2.827258978869818584e+00,3.714655969252630974e-01,2.842406900535745379e-02,1.307999999999999829e+01,1.918633773171825707e+00
5.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,5.391662000000000177e+01,8.531665892989481748e+00,4.771503256604995302e-01,2.860811920003538886e-02,9.486666666666668135e+00,2.398203030975021299e+00
6.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,5.159338000000000335e+01,8.700091938226860222e+00,4.024428026497834376e-01,3.246056056291627551e-02,1.125333333333333385e+01,3.228732121299491276e+00
7.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,4.861337999999999937e+01,7.272971857885880631e+00,4.185013149001209909e-01,5.030394816123866242e-02,1.244666666666666721e+01,7.572922524069261918e+00
8.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,4.485340000000000060e+01,4.362502900400181183e+00,4.319331314734423666e-01,1.579158310982499772e-02,1.085333333333333350e+01,4.536009014296353392e+00
9.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,4.112673999999999808e+01,2.504409728938139068e+00,3.886670117743923347e-01,4.494110850736678792e-02,1.227999999999999936e+01,3.114810498962087060e+00
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,8.000000000000000000e+00,6.000000000000000000e+00,3.000674000000000063e+01,1.877383972020641556e+00,6.056588984278542531e-01,2.224468758658518230e-02,4.333333333333332926e-01,8.666666666666665853e-01
1.000000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,8.000000000000000000e+00,3.036672000000000438e+01,2.602227592967225611e+00,5.341182470636074431e-01,3.700932361416476440e-02,4.199999999999999289e-01,5.983681512617833320e-01
1.100000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,3.295342000000000837e+01,2.328837497465205963e+00,4.697531504457725937e-01,3.518067298521162373e-02,2.759999999999999787e+00,1.740549083223771110e+00
1.200000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,8.000000000000000000e+00,3.167339999999999733e+01,1.775062690723907766e+00,4.589594699731871508e-01,2.284801812901489371e-02,4.106666666666667354e+00,1.965072800460866409e+00
1.300000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00,3.444673999999999126e+01,3.510156033340968040e+00,4.314976291623498494e-01,4.513345028924792279e-02,6.733333333333334281e+00,4.751186986193848050e+00
