0, 39, 0.00000, 0.06457, 0.05888, 0.06400, 0.06400, 0.00947, 0.01893, 0.08786, 0.06893, 0.12074, 0.35737, 
1, 33, 1.00000, 0.07368, 0.06625, 0.07141, 0.07141, 0.01553, 0.03107, 0.10000, 0.07500, 0.14911, 0.30079, 
2, 33, 2.00000, 0.09315, 0.08198, 0.08723, 0.08723, 0.02850, 0.05699, 0.12593, 0.08796, 0.14911, 0.49678, 
3, 25, 3.00000, 0.09812, 0.09001, 0.09648, 0.09648, 0.03264, 0.06528, 0.13421, 0.09210, 0.30615, 0.40970, 
4, 43, 4.00000, 0.10137, 0.09255, 0.10185, 0.10185, 0.03535, 0.07070, 0.13963, 0.09481, 0.28091, 0.34865, 
5, 46, 5.00000, 0.10534, 0.09556, 0.10595, 0.10595, 0.03799, 0.07598, 0.14491, 0.09746, 0.27989, 0.34594, 
6, 12, 6.00000, 0.10351, 0.09415, 0.10305, 0.10305, 0.03683, 0.07366, 0.14259, 0.09629, 0.37804, 0.34899, 
7, 8, 7.00000, 0.10003, 0.09172, 0.09659, 0.09659, 0.03424, 0.06849, 0.13742, 0.09371, 0.34926, 0.28464, 
8, 28, 8.00000, 0.09867, 0.09077, 0.09406, 0.09406, 0.03323, 0.06647, 0.13540, 0.09270, 0.33045, 0.30521, 
9, 22, 9.00000, 0.10314, 0.09540, 0.09994, 0.09994, 0.03655, 0.07310, 0.14203, 0.09602, 0.28494, 0.36787, 
10, 11, 10.00000, 0.10088, 0.09383, 0.09627, 0.09627, 0.03488, 0.06975, 0.13868, 0.09434, 0.31813, 0.27625, 
11, 7, 11.00000, 0.10154, 0.09428, 0.09749, 0.09749, 0.03536, 0.07072, 0.13965, 0.09483, 0.33184, 0.34398, 
12, 13, 12.00000, 0.10168, 0.09438, 0.09775, 0.09775, 0.03547, 0.07093, 0.13986, 0.09493, 0.33537, 0.33799, 
13, 56, 13.00000, 0.09920, 0.09265, 0.09314, 0.09314, 0.03362, 0.06725, 0.13618, 0.09309, 0.33613, 0.29003, 
14, 55, 14.00000, 0.09873, 0.09232, 0.09237, 0.09237, 0.03328, 0.06655, 0.13548, 0.09274, 0.30154, 0.29287, 
15, 37, 15.00000, 0.09657, 0.09101, 0.08886, 0.08886, 0.03187, 0.06374, 0.13267, 0.09134, 0.32802, 0.29293, 
16, 34, 16.00000, 0.10004, 0.09289, 0.09235, 0.09235, 0.03388, 0.06776, 0.13670, 0.09335, 0.27049, 0.32074, 
17, 47, 17.00000, 0.10259, 0.09427, 0.09603, 0.09603, 0.03536, 0.07071, 0.13964, 0.09482, 0.33733, 0.37416, 
18, 54, 18.00000, 0.10207, 0.09362, 0.09519, 0.09519, 0.03502, 0.07003, 0.13897, 0.09448, 0.37865, 0.37020, 
19, 38, 19.00000, 0.10029, 0.09254, 0.09231, 0.09231, 0.03386, 0.06773, 0.13666, 0.09333, 0.33829, 0.30945, 
20, 30, 20.00000, 0.10327, 0.09415, 0.09543, 0.09543, 0.03559, 0.07117, 0.14010, 0.09505, 0.28666, 0.32972, 
21, 42, 21.00000, 0.10344, 0.09438, 0.09578, 0.09578, 0.03573, 0.07145, 0.14038, 0.09519, 0.35003, 0.35350, 
